freq,stk_flow,sitc06,currency,partner,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,EXP,AER,MIO_EUR,WORLD,NO	358.757 	354.616 	349.954 	293.228 	287.462 	366.462 	305.565 	369.613 	195.979 	506.477 	116.401 	139.726 	169.602 	234.329 	244.737 	256.95 
A,EXP,AER,MIO_EUR,WORLD,PL	288.535 	411.261 	586.621 	937.689 	910.405 	1142.264 	1408.919 	1429.566 	1717.761 	2014.673 	2541.783 	2644.112 	2992.633 	2097.531 	3106.399 	3982.21 
A,EXP,AER,MIO_EUR,WORLD,PT	46.249 	95.101 	12.43 	67.705 	62.161 	27.795 	67.865 	70.656 	67.831 	192.494 	200.917 	83.584 	486.798 	216.508 	103.491 	173.649 
A,EXP,AER,MIO_EUR,WORLD,RO	57.47 	93.256 	64.036 	108.043 	45.221 	55.384 	102.241 	112.318 	88.812 	63.067 	71.916 	69.155 	75.322 	67.186 	83.293 	142.981 
A,EXP,AER,MIO_EUR,WORLD,SE	555.338 	533.967 	437.904 	550.29 	450.092 	452.469 	577.513 	391.301 	431.633 	536.218 	442.347 	491.539 	690.52 	537.371 	602.347 	681.182 
A,EXP,AER,MIO_EUR,WORLD,SI	69.183 	63.392 	64.875 	15.306 	21.62 	38.841 	60.098 	20.667 	79.089 	62.406 	88.287 	87.672 	157.4 	85.619 	148.198 	110.2 
A,EXP,AER,MIO_EUR,WORLD,SK	55.909 	55.554 	34.806 	53.627 	8.73 	24.518 	12.206 	8.407 	22.147 	12.488 	12.778 	29.113 	11.596 	22.812 	18.703 	48.823 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,AT	146.775 	199.201 	280.188 	205.369 	184.578 	284.807 	519.265 	389.61 	294.067 	377.761 	378.999 	284.476 	276.695 	415.018 	497.556 	482.656 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,BE	193.429 	244.962 	258.968 	177.614 	159.408 	240.406 	312.509 	286.009 	244.963 	22.157 	327.408 	481.672 	775.646 	950.644 	784.009 	105.943 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,BG	: 	: 	: 	: 	: 	0.001 	: 	0.002 	0.001 	0.002 	: 	0.001 	0.006 	: 	: 	: 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,CH	: 	: 	: 	: 	: 	: 	: 	: 	111.75 	93.65 	92.907 	76.976 	93.575 	241.743 	168.383 	325.743 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,CY	4.108 	3.709 	4.627 	4.674 	6.957 	5.908 	4.882 	5.707 	6.551 	3.842 	3.83 	4.469 	5.19 	3.648 	6.298 	5.772 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,CZ	38.789 	41.418 	44.506 	51.387 	52.802 	67.851 	93.161 	89.854 	106.496 	118.391 	124.431 	135.608 	138.038 	167.468 	220.005 	197.494 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,DE	181.56 	198.833 	208.556 	228.61 	226.532 	272.707 	310.058 	242.35 	246.22 	291.729 	255.023 	226.67 	233.418 	240.962 	343.343 	361.332 
